sample,sex,sow,dg,group,group.order,lt,date,time,testday,context,oxt_pgml,plate.name
3,f,6420,DG-5,W,2,60,15. Feb 21,09:20,Baseline3,Baseline,46.537,BS_OXT_19.05.21
4,f,6079,DG-3,W,1,55,28-Oct-20,09:45,Baseline2,Baseline,46.664,BS_OXT_13.07.21
8,f,6188,DG-4,F,2,62,16-Dec-20,10:03,Reunion,Reunion,47.27,BS_OXT_18.05.21
4,f,6099,DG-4,F,1,61,15-Dec-20,08:35,Separation,Separation,47.626,BS_OXT_10.05.21
2,m,6099,DG-4,F,2,64,18-Dec-20,11:51,Reunion,Reunion,47.665,BS_OXT_18.05.21
7,m,6188,DG-4,F,2,61,15-Dec-20,11:26,Baseline3,Baseline,47.802,BS_OXT_10.05.21
1,m,6079,DG-3,W,2,61,03. Nov 20,10:00,Baseline3,Baseline,47.888,BS_OXT_06.05.21
2,m,6197,DG-4,W,2,62,16-Dec-20,11:32,Baseline3,Baseline,48.721,BS_OXT_18.05.21
5,f,6421,DG-5,F,2,63,18. Feb 21,10:44,Baseline3,Baseline,49.033,BS_OXT_25.05.21
9,f,6310,DG-4,W,2,61,15-Dec-20,09:25,Separation,Separation,49.148,BS_OXT_18.05.21
6,m,6235,DG-5,W,1,61,16. Feb 21,08:55,Separation,Separation,49.761,BS_OXT_19.05.21
4,f,6099,DG-4,F,1,61,15-Dec-20,08:13,Baseline3,Baseline,50.405,BS_OXT_10.05.21
5,f,6099,DG-4,F,2,62,16-Dec-20,11:32,Reunion,Reunion,50.735,BS_OXT_18.05.21
3,f,6420,DG-5,W,2,60,15. Feb 21,09:45,Separation,Separation,50.984,BS_OXT_19.05.21
10,f,6188,DG-4,F,2,64,18-Dec-20,09:36,Baseline3,Baseline,51.016,BS_OXT_18.05.21
7,m,6235,DG-5,W,2,62,17. Feb 21,09:38,Separation,Separation,51.796,BS_OXT_25.05.21
2,m,6099,DG-4,F,2,64,18-Dec-20,11:06,Baseline3,Baseline,51.95,BS_OXT_18.05.21
1,m,6079,DG-3,W,2,61,03. Nov 20,10:55,Reunion,Reunion,52.202,BS_OXT_06.05.21
5,f,6420,DG-5,W,2,64,19. Feb 21,11:15,Separation,Separation,52.621,BS_OXT_25.05.21
8,f,6188,DG-4,F,2,62,16-Dec-20,09:16,Baseline3,Baseline,53.627,BS_OXT_18.05.21
4,f,6271,DG-3,F,2,63,05. Nov 20,10:44,Baseline3,Baseline,54.428,BS_OXT_06.05.21
7,m,6235,DG-5,W,2,62,17. Feb 21,09:57,Reunion,Reunion,54.54,BS_OXT_25.05.21
9,f,6235,DG-5,W,2,63,18. Feb 21,10:44,Reunion,Reunion,54.648,BS_OXT_25.05.21
1,m,6197,DG-4,W,1,28,12. Nov 20,08:53,Absetzen,Weaning,56.493,BS_OXT_03.03.21
8,f,6310,DG-4,W,2,64,18-Dec-20,10:47,Separation,Separation,58.398,BS_OXT_19.05.21
10,f,6407,DG-5,F,2,60,15. Feb 21,10:03,Baseline3,Baseline,58.68,BS_OXT_19.05.21
7,m,6310,DG-4,W,2,62,16-Dec-20,10:03,Baseline3,Baseline,58.987,BS_OXT_18.05.21
5,f,6420,DG-5,W,2,64,19. Feb 21,11:34,Reunion,Reunion,61.09,BS_OXT_25.05.21
3,m,6197,DG-4,W,2,64,18-Dec-20,09:15,Separation,Separation,61.881,BS_OXT_19.05.21
6,m,6073,DG-3,W,2,64,06. Nov 20,10:45,Baseline3,Baseline,63.96,BS_OXT_10.05.21
2,m,6420,DG-5,W,2,62,17. Feb 21,10:43,Baseline3,Baseline,64.027,BS_OXT_19.05.21
10,f,6310,DG-4,W,1,28,12. Nov 20,08:43,Absetzen,Weaning,64.465,BS_OXT_03.03.21
5,f,6099,DG-4,F,2,62,16-Dec-20,11:14,Separation,Separation,65.021,BS_OXT_18.05.21
7,m,6188,DG-4,F,2,61,15-Dec-20,11:56,Separation,Separation,65.836,BS_OXT_10.05.21
6,m,6073,DG-3,W,2,64,06. Nov 20,11:15,Separation,Separation,66.028,BS_OXT_10.05.21
6,m,6188,DG-4,F,2,28,12. Nov 20,09:13,Absetzen,Weaning,67.421,BS_OXT_29.03.21
8,f,6310,DG-4,W,2,64,18-Dec-20,11:06,Reunion,Reunion,67.871,BS_OXT_19.05.21
2,m,6197,DG-4,W,2,62,16-Dec-20,12:18,Reunion,Reunion,68.376,BS_OXT_18.05.21
8,f,6310,DG-4,W,2,64,18-Dec-20,10:19,Baseline3,Baseline,68.407,BS_OXT_18.05.21
1,m,6420,DG-5,W,1,36,22. Jan 21,08:43,Baseline1,Baseline,68.553,BS_OXT_21.04.21
1,m,6421,DG-5,F,1,62,17. Feb 21,08:27,Baseline3,Baseline,68.907,BS_OXT_19.05.21
10,f,6188,DG-4,F,2,64,18-Dec-20,10:19,Reunion,Reunion,69.168,BS_OXT_18.05.21
4,f,6099,DG-4,F,1,61,15-Dec-20,08:55,Reunion,Reunion,70,BS_OXT_10.05.21
5,f,6421,DG-5,F,2,63,18. Feb 21,11:27,Reunion,Reunion,70.102,BS_OXT_25.05.21
6,m,6369,DG-3,F,2,35,8-Oct-20,09:56,Play,Play,70.114,BS_OXT_03.03.21
6,m,6235,DG-5,W,1,61,16. Feb 21,09:17,Reunion,Reunion,70.242,BS_OXT_19.05.21
4,f,6271,DG-3,F,2,63,05. Nov 20,11:18,Separation,Separation,70.71,BS_OXT_06.05.21
2,m,6197,DG-4,W,2,62,16-Dec-20,11:57,Separation,Separation,71.097,BS_OXT_18.05.21
3,f,6420,DG-5,W,2,60,15. Feb 21,10:03,Reunion,Reunion,71.506,BS_OXT_19.05.21
8,m,6235,DG-5,W,2,60,15. Feb 21,11:13,Separation,Separation,71.852,BS_OXT_19.05.21
4,f,6197,DG-4,W,2,61,15-Dec-20,11:26,Reunion,Reunion,72.21,BS_OXT_18.05.21
1,m,6197,DG-4,W,1,62,16-Dec-20,08:57,Separation,Separation,73.043,BS_OXT_18.05.21
1,m,6142,DG-2,W,2,60,21. Sep 20,10:11,Separation,Separation,73.227,BS_OXT_21.04.21
4,f,6079,DG-3,W,1,61,03. Nov 20,08:48,Separation,Separation,73.433,BS_OXT_22.04.21
5,f,6079,DG-3,W,2,62,04. Nov 20,11:10,Separation,Separation,73.712,BS_OXT_06.05.21
8,m,6073,DG-3,W,2,63,05. Nov 20,10:22,Separation,Separation,73.86,BS_OXT_06.05.21
4,f,6197,DG-4,W,2,61,15-Dec-20,10:38,Baseline3,Baseline,74.4,BS_OXT_18.05.21
3,m,6099,DG-4,F,2,60,14-Dec-20,10:21,Reunion,Reunion,75.328,BS_OXT_10.05.21
